City,State,Name,Address,Place ID,Map Link,Match Types
Santiago de Querétaro,Querétaro,Yong Xing Comida China (永兴）,"Av. Constituyentes 34 Ote-Local 10-C, zona dos extendida, Mercurio, 76046 Santiago de Querétaro, Qro.",ChIJQ-l8KVFF04UR2KaOJM_8Yss,https://www.google.com/maps/place/?q=place_id:ChIJQ-l8KVFF04UR2KaOJM_8Yss,han
Santiago de Querétaro,Querétaro,中国店Baishun百顺杂货店,"Av. Prol. Luis Pasteur Sur 135, zona dos extendida, Alameda, 76040 Santiago de Querétaro, Qro.",ChIJryV5frNF04URhhq0_VCQx6w,https://www.google.com/maps/place/?q=place_id:ChIJryV5frNF04URhhq0_VCQx6w,han
Tampico,Tamaulipas,Comida China Shi Wei Xian,"Los Pinos, 89137 Tampico, Tamps.",ChIJo9UmnMH514URG6ivn02Z2Yc,https://www.google.com/maps/place/?q=place_id:ChIJo9UmnMH514URG6ivn02Z2Yc,pinyin
Tampico,Tamaulipas,Xiang Wang Comida China Express,"Altamira 101-C JOYERIA JASMIN, Zona Centro, 89000 Tampico, Tamps.",ChIJM3cW7Gv314URNwywbTZrXZE,https://www.google.com/maps/place/?q=place_id:ChIJM3cW7Gv314URNwywbTZrXZE,pinyin
Tepic,Nayarit,恒 HENG FA 發 Comida China,"Av Jacarandas 33, Versalles, 63139 Tepic, Nay.",ChIJMSi7vM83J4QRVvQl5z-GIkk,https://www.google.com/maps/place/?q=place_id:ChIJMSi7vM83J4QRVvQl5z-GIkk,han
Tijuana,Baja California,（Ten Seconds）Shimiaodao Yunnan Rice Noodles Tijuana,"Plaza Alameda Otay Town Center, Aeropuerto 16000, La Pechuga, 22425 Tijuana, B.C.",ChIJI6BLf8VH2YARgYmNZiLmp7U,https://www.google.com/maps/place/?q=place_id:ChIJI6BLf8VH2YARgYmNZiLmp7U,pinyin
Tijuana,Baja California,China Inn 美味园,"Blvd. Gustavo Díaz Ordaz 565 B, La Mesa, 22105 Tijuana, B.C.",ChIJf_k3GI052YARA_lSlWHcQ1I,https://www.google.com/maps/place/?q=place_id:ChIJf_k3GI052YARA_lSlWHcQ1I,han
Tijuana,Baja California,Comida china Hua Xiang Yuan,"Gral. Lázaro Cárdenas 15-INT, -1, Col Ejido Francisco Villa, Lázaro Cárdenas, 22236 Tijuana, B.C.",ChIJWUX3M9Y_2YARoD_8IwdqnZ4,https://www.google.com/maps/place/?q=place_id:ChIJWUX3M9Y_2YARoD_8IwdqnZ4,pinyin
Tijuana,Baja California,HONG KONG CAFE COMIDA CHINA,"Blvd. Gustavo Díaz Ordaz 500, Chapultepec California, 22117 Tijuana, B.C.",ChIJvYmnpfQk-xQR6XRP1hUHzSQ,https://www.google.com/maps/place/?q=place_id:ChIJvYmnpfQk-xQR6XRP1hUHzSQ,pinyin
Tijuana,Baja California,Hong Kong City,"Blvd. Gustavo Díaz Ordaz 16139, Martinez, 22127 Tijuana, B.C.",ChIJ2fleu8Q42YARZYfYhEPrxH4,https://www.google.com/maps/place/?q=place_id:ChIJ2fleu8Q42YARZYfYhEPrxH4,pinyin
Tijuana,Baja California,Hong Kong Gentlemen's Club,"C. Coahuila 2009, Zona Nte., 22000 Tijuana, B.C.",ChIJuXfDlAZJ2YARPmalWewuM3U,https://www.google.com/maps/place/?q=place_id:ChIJuXfDlAZJ2YARPmalWewuM3U,pinyin
Tijuana,Baja California,Man Xiang,"Lib. Sur 22643, Industrial Pacifico, Sin Asignación En Nombre de Asentamiento, 22643 Tijuana, B.C.",ChIJ5-wIZKI32YARF3_0KOvBujw,https://www.google.com/maps/place/?q=place_id:ChIJ5-wIZKI32YARF3_0KOvBujw,pinyin
Tijuana,Baja California,人乐超 （Super de la Gente Feliz),"Calle Ignacio Zaragoza 8359b, Zona Centro, 22000 Tijuana, B.C.",ChIJR8xTEcpJ2YARaugMgw7HUog,https://www.google.com/maps/place/?q=place_id:ChIJR8xTEcpJ2YARaugMgw7HUog,han
Torreón,Coahuila de Zaragoza,"Comida China ""Dao Xiang"" (Presidente Carranza Centro)","Av Pdte Carranza 500, Primitivo Centro, 27000 Torreón, Coah.",ChIJm_GSLGbZj4YRobQm3Y6VZ1E,https://www.google.com/maps/place/?q=place_id:ChIJm_GSLGbZj4YRobQm3Y6VZ1E,pinyin
Torreón,Coahuila de Zaragoza,Hong Kong,"Presidente Carranza, Oriente 3201, Primero de Cobián Centro, 27000 Torreón, Coah.",ChIJ44wQXpjbj4YRFe6GjhC9Ns4,https://www.google.com/maps/place/?q=place_id:ChIJ44wQXpjbj4YRFe6GjhC9Ns4,pinyin
Tuxtla Gutiérrez,Chiapas,GUANGZHOU. Comida china en especialidad cantonesa.,"Fraccionamiento Vida Mejor, Cto Prosperidad Pte Nte, Zona Sin Asignación de Nombre de Col 24, 29045 Tuxtla Gutiérrez, Chis.",ChIJp06EiKsn7YUR-HbRhxBgikM,https://www.google.com/maps/place/?q=place_id:ChIJp06EiKsn7YUR-HbRhxBgikM,pinyin
Tuxtla Gutiérrez,Chiapas,Hong Kong,"Blvd. Belisario Domínguez 2238, Jardines de Tuxtla, 29020 Tuxtla Gutiérrez, Chis.",ChIJoXoQyg3Z7IURCZYNzrjawgo,https://www.google.com/maps/place/?q=place_id:ChIJoXoQyg3Z7IURCZYNzrjawgo,pinyin
Villahermosa,Tabasco,Local De Bnixian Chao Comida China,"Benito Juárez 427, Centro Delegacion Dos, 86077 Villahermosa, Tab.",ChIJkWu_6DfY7YURneLLn8xS9eQ,https://www.google.com/maps/place/?q=place_id:ChIJkWu_6DfY7YURneLLn8xS9eQ,pinyin
Villahermosa,Tabasco,Shanghai,"Av 16 de Septiembre 132, Primero de Mayo, 86190 Villahermosa, Tab.",ChIJKcJpIH7X7YUR2TA3GMRnMcA,https://www.google.com/maps/place/?q=place_id:ChIJKcJpIH7X7YUR2TA3GMRnMcA,pinyin
Villahermosa,Tabasco,SHANGHAI,"Av Paseo Usumacinta 1110, Local 4, Tabasco 2000, Los Rios, 86035 Villahermosa, Tab.",ChIJP2NZN9PZ7YURiHbqMQ8BZVk,https://www.google.com/maps/place/?q=place_id:ChIJP2NZN9PZ7YURiHbqMQ8BZVk,pinyin
Villahermosa,Tabasco,Xiang Fa Comida China,"Plaza Sendero, Perif. Carlos Pellicer Cámara 1020, El Recreo, 86029 Villahermosa, Tab.",ChIJAz-6ZHHY7YUR9qU4_wjl9m8,https://www.google.com/maps/place/?q=place_id:ChIJAz-6ZHHY7YUR9qU4_wjl9m8,pinyin
Xalapa-Enríquez,Veracruz,CHINA BEIJING,"C. Lázaro Cárdenas 302, Independencia, 91170 Xalapa-Enríquez, Ver.",ChIJl0V4cAAx24URHAC3WGGqJUA,https://www.google.com/maps/place/?q=place_id:ChIJl0V4cAAx24URHAC3WGGqJUA,pinyin
Zacatecas,Zacatecas,Restaurant Hong Kong YeeMon,"Alameda Trinidad García de La Cadena #306, Zacatecas Centro, 98000 Zacatecas, Zac.",ChIJHebhiJVPgoYR7kJdV5vB4qw,https://www.google.com/maps/place/?q=place_id:ChIJHebhiJVPgoYR7kJdV5vB4qw,pinyin
Zacatecas,Zacatecas,Shanghai Wok,"Miguel Auza #316, Zacatecas Centro, 98000 Zacatecas, Zac.",ChIJy8rj0b1PgoYRjfcm0qF5hvU,https://www.google.com/maps/place/?q=place_id:ChIJy8rj0b1PgoYRjfcm0qF5hvU,pinyin
杜兰戈,杜兰戈,Restaurant Hong Kong,墨西哥杜兰戈 Máximo Gámiz,ChIJ2YxkRbe3m4YR-N_QiEEqONA,https://www.google.com/maps/place/?q=place_id:ChIJ2YxkRbe3m4YR-N_QiEEqONA,pinyin
诺加莱斯,索诺拉,Restaurant Xiang Long,墨西哥索诺拉诺加莱斯 Lomas de Anza,ChIJFYtSZqBS0YYRsNFSM7yW8yI,https://www.google.com/maps/place/?q=place_id:ChIJFYtSZqBS0YYRsNFSM7yW8yI,pinyin
